model_name,analysis_group,event_type,site,fold,n_test,outcome_r2,treatment_r2
site_mortality__liver_and_intrahepatic_bile_duct__total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,2,100,0.4627407528258215,0.6733199897536266
site_mortality__liver_and_intrahepatic_bile_duct__total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,3,100,0.37733661985121625,0.6557539131286199
site_mortality__liver_and_intrahepatic_bile_duct__total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,4,99,0.3646129197931627,0.26378671128389697
site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,0,100,0.387050605631137,0.7625336534044277
site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,1,100,0.23535713924005996,0.7109939773909989
site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,2,100,0.5017527878846015,0.6761510190073681
site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,3,100,0.40796400957701184,0.6687225505871672
site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,4,99,0.3752225398317566,0.2535661353824987
site_mortality__leukemias__total_effect,site,Mortality,Leukemias,0,95,0.2525636134898104,0.6889252785739759
site_mortality__leukemias__total_effect,site,Mortality,Leukemias,1,95,0.1589401389745887,0.7387651096539751
site_mortality__leukemias__total_effect,site,Mortality,Leukemias,2,95,0.27517848899018216,0.6779797310626464
site_mortality__leukemias__total_effect,site,Mortality,Leukemias,3,95,0.14520496088292356,0.7210565552103205
site_mortality__leukemias__total_effect,site,Mortality,Leukemias,4,95,0.20442930707689333,0.70892265603003
site_mortality__leukemias__direct_effect,site,Mortality,Leukemias,0,95,0.24057323150506826,0.7114195681913509
site_mortality__leukemias__direct_effect,site,Mortality,Leukemias,1,95,0.1514976836456855,0.7451950209695161
site_mortality__leukemias__direct_effect,site,Mortality,Leukemias,2,95,0.27975008932779566,0.6608188212066628
site_mortality__leukemias__direct_effect,site,Mortality,Leukemias,3,95,0.13186150212133585,0.7381014831334565
site_mortality__leukemias__direct_effect,site,Mortality,Leukemias,4,95,0.18795279312147128,0.7217101104025558
site_mortality__non_hodgkin_lymphoma__total_effect,site,Mortality,Non-Hodgkin Lymphoma,0,83,0.13695411661190582,0.6140668667695177
site_mortality__non_hodgkin_lymphoma__total_effect,site,Mortality,Non-Hodgkin Lymphoma,1,83,0.41897180682790414,0.698354846603021
site_mortality__non_hodgkin_lymphoma__total_effect,site,Mortality,Non-Hodgkin Lymphoma,2,83,0.1828345877273887,0.6715897971657152
site_mortality__non_hodgkin_lymphoma__total_effect,site,Mortality,Non-Hodgkin Lymphoma,3,83,0.5262629880536648,0.6142970091672062
site_mortality__non_hodgkin_lymphoma__total_effect,site,Mortality,Non-Hodgkin Lymphoma,4,83,0.26463861039792436,0.7123064535937588
site_mortality__non_hodgkin_lymphoma__direct_effect,site,Mortality,Non-Hodgkin Lymphoma,0,83,0.11819099017660695,0.6211841754336946
site_mortality__non_hodgkin_lymphoma__direct_effect,site,Mortality,Non-Hodgkin Lymphoma,1,83,0.40734493170055974,0.7121683719866059
site_mortality__non_hodgkin_lymphoma__direct_effect,site,Mortality,Non-Hodgkin Lymphoma,2,83,0.2074599628888657,0.6842759330171713
site_mortality__non_hodgkin_lymphoma__direct_effect,site,Mortality,Non-Hodgkin Lymphoma,3,83,0.5343565194091006,0.6363855629804305
site_mortality__non_hodgkin_lymphoma__direct_effect,site,Mortality,Non-Hodgkin Lymphoma,4,83,0.23780291600885417,0.6942918629347747
