source,feature,source_column
acs_dp02,acs_dp02_dp02_0086e,dp02_0086e
acs_dp02,acs_dp02_dp02_0086m,dp02_0086m
acs_dp02,acs_dp02_dp02_0086pe,dp02_0086pe
acs_dp02,acs_dp02_dp02_0086pm,dp02_0086pm
acs_dp02,acs_dp02_dp02_0087e,dp02_0087e
acs_dp02,acs_dp02_dp02_0087m,dp02_0087m
acs_dp02,acs_dp02_dp02_0087pe,dp02_0087pe
acs_dp02,acs_dp02_dp02_0087pm,dp02_0087pm
acs_dp02,acs_dp02_dp02_0088e,dp02_0088e
acs_dp02,acs_dp02_dp02_0088m,dp02_0088m
acs_dp02,acs_dp02_dp02_0088pe,dp02_0088pe
acs_dp02,acs_dp02_dp02_0088pm,dp02_0088pm
acs_dp02,acs_dp02_dp02_0089e,dp02_0089e
acs_dp02,acs_dp02_dp02_0089m,dp02_0089m
acs_dp02,acs_dp02_dp02_0089pe,dp02_0089pe
acs_dp02,acs_dp02_dp02_0089pm,dp02_0089pm
acs_dp02,acs_dp02_dp02_0090e,dp02_0090e
acs_dp02,acs_dp02_dp02_0090m,dp02_0090m
acs_dp02,acs_dp02_dp02_0090pe,dp02_0090pe
acs_dp02,acs_dp02_dp02_0090pm,dp02_0090pm
acs_dp02,acs_dp02_dp02_0091e,dp02_0091e
acs_dp02,acs_dp02_dp02_0091m,dp02_0091m
acs_dp02,acs_dp02_dp02_0091pe,dp02_0091pe
acs_dp02,acs_dp02_dp02_0091pm,dp02_0091pm
acs_dp02,acs_dp02_dp02_0092e,dp02_0092e
acs_dp02,acs_dp02_dp02_0092m,dp02_0092m
acs_dp02,acs_dp02_dp02_0092pe,dp02_0092pe
acs_dp02,acs_dp02_dp02_0092pm,dp02_0092pm
acs_dp02,acs_dp02_dp02_0093e,dp02_0093e
acs_dp02,acs_dp02_dp02_0093m,dp02_0093m
acs_dp02,acs_dp02_dp02_0093pe,dp02_0093pe
acs_dp02,acs_dp02_dp02_0093pm,dp02_0093pm
